Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$85.55,0.40,0.47%,150638750.00,United States,,9120,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.1276,0.0051,4.163%,17509452.00,Canada,2015,7793441,,
ACU,Acme United Corporation. Common Stock,$26.10,0.89,3.53%,92346472.00,United States,1988,5648,Consumer Discretionary,Industrial Machinery/Components
ADRT,Ault Disruptive Technologies Corporation Common Stock,$10.50,0.00,0.00%,150937500.00,,2022,100,Industrials,Consumer Electronics/Appliances
AE,Adams Resources & Energy Inc. Common Stock,$37.49,-0.13,-0.346%,95024816.00,United States,1980,2206,Energy,Oilfield Services/Equipment
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.05,0.00,0.00%,256296484.00,United States,,88994,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.59,0.0424,7.743%,22391244.00,,2018,4832,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.4799,0.00,0.00%,19047237.00,United States,1997,53914,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$10.1456,-0.5244,-4.915%,32435290.00,United States,2014,818,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$3.70,-0.11,-2.887%,12017367.00,United States,,16453,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$5.33,-0.97,-15.397%,0.00,,,14346,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.26,0.015,6.122%,6602224.00,China,,511059,Consumer Discretionary,Educational Services
AMPE,Ampio Pharmaceuticals Inc.,$0.2099,0.0099,4.95%,3170094.00,United States,2022,248253,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.76,0.01,0.364%,17067840.00,United States,1988,57284,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$4.00,0.00,0.00%,49055824.00,Canada,2000,15544,,
AREN,The Arena Group Holdings Inc. Common Stock,$4.18,0.18,4.50%,91005330.00,,2022,32165,Technology,Interactive Media
ARMP,Armata Pharmaceuticals Inc. Common Stock,$1.54,0.00,0.00%,55662847.00,United States,,5242,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.8989,0.0189,2.148%,107144796.00,Canada,,615779,,
ASXC,Asensus Surgical Inc. Common Stock,$0.62,-0.02,-3.125%,148353443.00,United States,,922947,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$8.87,-0.10,-1.115%,228219512.00,United States,,119298,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.0879,-0.0036,-3.934%,36544134.00,United States,1997,2797456,Finance,Investment Bankers/Brokers/Service
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$10.85,0.03,0.277%,,United States,,2823,,
AUMN,Golden Minerals Company Common Stock,$0.23,0.0067,3.00%,39623309.00,United States,,353424,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$1.13,0.056,5.214%,14997078.00,,2022,568514,,
AWX,Avalon Holdings Corporation Common Stock,$2.66,0.00,0.00%,10372486.00,United States,1998,221,Utilities,Environmental Services
BACA,Berenson Acquisition Corp. I Class A Common Stock,$10.11,0.00,0.00%,0.00,,2021,16900,Industrials,Consumer Electronics/Appliances
BATL,Battalion Oil Corporation Common Stock,$6.20,-0.50,-7.463%,101993143.00,,,8748,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$16.07,-0.10,-0.618%,0.00,United States,1972,13437,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$23.94,0.20,0.842%,,United States,,203,,
BDL,Flanigan's Enterprises Inc. Common Stock,$26.61,-1.05,-3.796%,49458597.00,United States,1972,800,Consumer Discretionary,Restaurants
BGI,Birks Group Inc. Common Stock,$8.69,0.12,1.40%,162772121.00,Canada,,6892,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$21.74,-1.02,-4.482%,328805565.00,United States,1997,109293,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$17.98,-0.12,-0.663%,0.00,,2022,26752,Real Estate,Real Estate Investment Trusts
BITE,Bite Acquisition Corp. Common Stock,$10.35,0.00,0.00%,0.00,,2021,10,Industrials,Consumer Electronics/Appliances
BKTI,BK Technologies Corporation Common Stock,$13.98,0.11,0.793%,47526925.00,United States,,7284,Technology,Radio And Television Broadcasting And Communications Equipment
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,$10.22,-0.01,-0.098%,0.00,,2021,100,Finance,Blank Checks
BMTX,BM Technologies Inc. Common Stock,$2.87,-0.15,-4.967%,34042534.00,,2018,6841,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$7.14,-0.32,-4.29%,135277767.00,,,44878,Finance,Commercial Banks
BRN,Barnwell Industries Inc. Common Stock,$2.67,0.01,0.376%,26584354.00,United States,1965,11000,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.14,0.13,3.242%,5346802585.00,Canada,,13171011,,
BTTR,Better Choice Company Inc. Common Stock,$0.375,-0.0052,-1.368%,11452931.00,,2021,15523,Consumer Discretionary,Food Distributors
BURU,Nuburu Inc. Common Stock,$0.912,-0.0805,-8.111%,30892125.00,,2020,181002,Technology,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.12,0.20,10.417%,8655517.00,Israel,,98746,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$0.6279,0.0164,2.682%,174969258.00,United States,,173030,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$5.00,-0.28,-5.303%,41518020.00,United States,2022,6108,Health Care,Managed Health Care
CCF,Chase Corporation Common Stock,$110.89,-1.16,-1.035%,1054033291.00,United States,1995,14015,Consumer Discretionary,Paints/Coatings
CEI,Camber Energy Inc. Common Stock,$1.24,-0.01,-0.80%,27552494.00,United States,,489802,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$33.90,-0.49,-1.425%,948399485.00,United States,1951,27211,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.12,0.06,0.596%,71179779.00,United States,1999,10814,Finance,Finance/Investors Services
CHAA,Catcha Investment Corp. Class A Ordinary Shares,$10.27,-0.08,-0.773%,0.00,,2021,2504,Finance,Blank Checks
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.68,-0.01,-0.372%,0.00,United States,,263740,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$18.73,-0.21,-1.109%,230513051.00,United States,1998,15806,Technology,Security Systems Services
CKX,CKX Lands Inc. Common Stock,$9.543,0.003,0.031%,18841957.00,United States,2003,235,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$7.78,-0.04,-0.512%,0.00,United States,2003,1071947,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$14.46,-0.03,-0.207%,277459536.00,Canada,,36856,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$19.09,-0.50,-2.552%,173955220.00,United States,1996,46342,Consumer Discretionary,Electronic Components
COHN,Cohen & Company Inc.,$6.50,-0.46,-6.609%,11829129.00,United States,,5473,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.377,-0.008,-2.078%,3188701.00,China,,238475,Health Care,Biotechnology: Pharmaceutical Preparations
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$44.80,0.08,0.179%,21684683910.00,United States,2007,185848,Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.40,-0.03,-0.404%,0.00,United States,2003,544203,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$29.40,-0.06,-0.204%,212190619.00,,2021,2592,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.91,-0.0145,-1.568%,43167453.00,,2022,14742,Technology,EDP Services
CVM,Cel-Sci Corporation Common Stock,$2.38,0.14,6.25%,104158791.00,United States,1997,145783,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$26.01,-2.38,-8.383%,25129093.00,United States,1930,25858,Consumer Discretionary,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$3.2872,-0.0228,-0.689%,41309532.00,United States,2022,3057,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.3197,-0.0043,-1.327%,60739559.00,,,665564,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$3.46,0.21,6.462%,260513531.00,,2022,360456,Basic Materials,Precious Metals
DHY,Credit Suisse High Yield Bond Fund Common Stock,$1.89,0.01,0.532%,0.00,United States,1998,268759,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$183.52,7.02,3.977%,112140263.00,United States,1999,860,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$11.20,0.20,1.818%,78411424.00,United States,2000,34147,Consumer Discretionary,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.26,-0.02,-0.318%,0.00,United States,1988,73873,Finance,Finance/Investors Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$10.25,0.00,0.00%,0.00,,2022,1100,Industrials,Consumer Electronics/Appliances
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.03,0.00,0.00%,860421692.00,Canada,,1787920,,
DPSI,DecisionPoint Systems Inc. Common Stock,$6.72,0.07,1.053%,49844538.00,,2022,10459,Technology,Retail: Computer Software & Peripheral Equipment
DSS,DSS Inc. Common Stock,$0.2181,0.0134,6.546%,30319645.00,United States,,90825,,
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.2524,-0.0676,-21.125%,5269907.00,China,,5223177,Consumer Discretionary,Apparel
EAD,Allspring Income Opportunities Fund Common Shares,$6.31,-0.01,-0.158%,0.00,United States,2003,187377,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$8.00,0.15,1.911%,0.00,United States,1986,30711,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$23.9399,-0.0101,-0.042%,,United States,,370,,
EFSH,1847 Holdings LLC Common Shares,$0.7045,-0.0202,-2.787%,3279896.00,,2022,30948,Industrials,Consumer Electronics/Appliances
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.14,0.06,0.595%,0.00,United States,2002,90321,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$6.50,0.20,3.175%,175008477.00,United States,,44494,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$14.24,0.00,0.00%,183020810.00,Israel,,3,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$10.88,0.51,4.918%,92634104.00,United States,2011,6005,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$1.61,0.04,2.548%,132757699.00,United States,,667231,Technology,Industrial Machinery/Components
EMX,EMX Royalty Corporation Common Shares (Canada),$2.025,0.025,1.25%,224094985.00,Canada,,85693,,
ENSV,Enservco Corporation Common Stock,$0.394,-0.0069,-1.721%,6220805.00,United States,,140387,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.61,0.13,1.371%,0.00,United States,2002,24306,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,$9.26,-0.69,-6.935%,207818207.00,United States,2022,21830,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$6.23,-0.07,-1.111%,210058779.00,United States,,173720,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$5.61,0.08,1.447%,1751074478.00,Canada,,3173498,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.01,-0.05,-0.552%,0.00,United States,2003,22229,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$10.52,-0.03,-0.284%,0.00,,2004,10581,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$21.01,-0.31,-1.454%,56782319.00,United States,1960,9536,Technology,Industrial Machinery/Components
EU,enCore Energy Corp. Common Shares,$2.11,0.02,0.957%,252427373.00,,2023,214637,Basic Materials,Other Metals and Minerals
EVBN,Evans Bancorp Inc. Common Stock,$25.58,-1.51,-5.574%,139418904.00,United States,,25146,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$19.62,0.71,3.755%,246551238.00,United States,1999,4896,Industrials,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$8.86,0.04,0.454%,0.00,United States,2002,131081,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$9.36,0.00,0.00%,0.00,United States,2003,353981,Finance,Finance/Investors Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.72,0.05,1.873%,0.00,United States,1986,561215,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$5.02,0.0101,0.202%,0.00,United States,1992,49189,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$12.63,-0.05,-0.394%,0.00,United States,2004,25383,Finance,Finance/Investors Services
FGH,FG Group Holdings Inc. Common Stock,$2.03,0.11,5.729%,39523387.00,United States,,16169,Consumer Discretionary,Industrial Machinery/Components
FLAG,First Light Acquisition Group Inc. Class A Common Stock,$10.29,0.01,0.097%,0.00,,2021,213222,Industrials,Consumer Electronics/Appliances
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.3755,0.0143,3.959%,10295485.00,,2022,156389,Technology,Retail: Computer Software & Peripheral Equipment
FRD,Friedman Industries Inc. Common Stock,$10.17,-0.10,-0.974%,75009730.00,United States,1975,6913,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$2.86,-0.06,-2.055%,35565622.00,Canada,2002,29993,Consumer Discretionary,Recreational Games/Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$1.13,-0.01,-0.877%,116656583.00,United States,,1601274,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.24,-0.01,-0.16%,252129534.00,United States,2003,138518,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.5419,0.017,3.239%,78872163.00,,2020,79319,,
GAU,Galiano Gold Inc.,$0.69,0.0501,7.829%,155210983.00,Canada,,508319,,
GBR,New Concept Energy Inc Common Stock,$1.07,0.03,2.885%,5491169.00,United States,1993,76511,Real Estate,Real Estate
GENC,Gencor Industries Inc. Common Stock,$13.50,-0.24,-1.747%,197878977.00,United States,,11613,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.77,0.04,1.072%,0.00,United States,2005,678411,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$22.45,-0.36,-1.578%,,United States,,8149,,
GLDG,GoldMining Inc. Common Shares,$1.10,0.05,4.762%,185048035.00,,,2054126,,
GLO,Clough Global Opportunities Fund Common Stock,$4.65,-0.04,-0.853%,0.00,United States,2006,169854,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$5.79,-0.08,-1.363%,0.00,United States,2005,91072,Finance,Finance/Investors Services
GLTA,Galata Acquisition Corp. Class A Ordinary Shares,$10.46,0.00,0.00%,0.00,,2021,4,Consumer Discretionary,Rental/Leasing Companies
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$13.96,-0.25,-1.759%,83325998.00,United States,2004,22488,Finance,Finance/Investors Services
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$49.95,0.23,0.463%,,United States,,733,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.55,-0.08,-1.421%,70538186.00,United States,2004,58012,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$1.01,-0.10,-9.009%,24937570.00,,2022,2223596,Consumer Discretionary,Educational Services
GORO,Gold Resource Corporation Common Stock,$0.97,0.04,4.301%,85746166.00,United States,,360545,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.29,-0.30,-3.492%,0.00,United States,,703,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$1.19,-0.09,-7.031%,46222620.00,,2022,18248,,
GROY,Gold Royalty Corp. Common Shares,$2.32,0.12,5.455%,333878320.00,,2021,810991,,
GSAT,Globalstar Inc. Common Stock,$0.9374,0.0048,0.515%,1697631400.00,United States,2006,5127932,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$0.6044,-0.0556,-8.424%,20828454.00,Canada,,4767754,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Common Stock,$10.55,0.01,0.095%,0.00,,2022,104761,Industrials,Consumer Electronics/Appliances
HNW,Pioneer Diversified High Income Fund Inc.,$9.96,-0.02,-0.20%,0.00,United States,2007,62474,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$2.13,0.04,1.914%,22625963.00,United States,,57995,Energy,Oil & Gas Production
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.32,-0.02,-0.461%,0.00,United States,1985,28051,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$2.63,0.03,1.154%,649113722.00,,2022,2928920,,
IBIO,iBio Inc. Common Stock,$1.06,-0.03,-2.752%,13111303.00,United States,,120205,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,$0.4263,0.022,5.442%,14841339.00,United States,2017,112421,Consumer Discretionary,Auto Parts:O.E.M.
IDR,Idaho Strategic Resources Inc. Common Stock,$5.92,0.19,3.316%,72558616.00,,2022,13133,Basic Materials,Precious Metals
IDW,IDW Media Holdings Class B Common Stock,$0.3952,-0.0012,-0.303%,5583303.00,,2021,9299,Consumer Discretionary,Newspapers/Magazines
IE,Ivanhoe Electric Inc. Common Stock,$11.98,0.12,1.012%,1113802943.00,,2022,494566,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.332,0.00,0.00%,17621709.00,United States,,101724,Consumer Discretionary,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.34,0.04,3.077%,12217467.00,United States,1999,134246,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$44.46,-1.25,-2.735%,25971429842.00,Canada,1929,937385,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$4.46,0.04,0.905%,45236415.00,,2019,73692,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$8.48,-0.27,-3.086%,177183232.00,United States,,53995,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$4.09,0.05,1.238%,,,2022,628,Technology,EDP Services
INTT,inTest Corporation Common Stock,$19.05,-0.78,-3.933%,211861889.00,United States,1997,148609,Technology,Semiconductors
